56;Реконкиста;{"name":"Реконкиста","lat":-29.15,"lon":-59.65,"country":"AR","timezone":"America/Argentina/Cordoba","population":90184,"capital":"false","continent":"America"}
57;Кильмес;{"name":"Кильмес","lat":-34.72904,"lon":-58.26374,"country":"AR","timezone":"America/Argentina/Buenos_Aires","population":518788,"capital":"false","continent":"America"}
58;Пуэрто-Эльдорадо;{"name":"Пуэрто-Эльдорадо","lat":-26.40843,"lon":-54.69463,"country":"AR","timezone":"America/Argentina/Cordoba","population":54189,"capital":"false","continent":"America"}
59;Посадас;{"name":"Посадас","lat":-27.36708,"lon":-55.89608,"country":"AR","timezone":"America/Argentina/Cordoba","population":323739,"capital":"false","continent":"America"}
60;Обера;{"name":"Обера","lat":-27.48706,"lon":-55.11994,"country":"AR","timezone":"America/Argentina/Cordoba","population":56528,"capital":"false","continent":"America"}
61;Некочеа;{"name":"Некочеа","lat":-38.5545,"lon":-58.73961,"country":"AR","timezone":"America/Argentina/Buenos_Aires","population":80478 ,"capital":"false" ,"continent":"America"}
62;Морон;{"name":"Морон","lat":-34.6509,"lon":-58.61956,"country":"AR","timezone":"America/Argentina/Buenos_Aires","population":319934,"capital":"false","continent":"America"}
63;Мерседес;{"name":"Мерседес","lat":-34.65145,"lon":-59.43068,"country":"AR","timezone":"America/Argentina/Buenos_Aires","population":52949 ,"capital":"false" ,"continent":"America"}
64;Мар-дель-Плата,МардельПлата,Мар дель Плата;{"name":"Мар-дель-Плата","lat":-38.00228,"lon":-57.55754,"country":"AR","timezone":"America/Argentina/Buenos_Aires","population":553935,"capital":"false","continent":"America"}
65;Лухан;{"name":"Лухан","lat":-34.57028,"lon":-59.105,"country":"AR","timezone":"America/Argentina/Buenos_Aires","population":81749,"capital":"false","continent":"America"}
66;Ла-Плата,ЛаПлата,Ла Плата;{"name":"Ла-Плата","lat":-34.92145,"lon":-57.95453,"country":"AR","timezone":"America/Argentina/Buenos_Aires","population":694167,"capital":"false","continent":"America"}
67;Гуалегуайчу;{"name":"Гуалегуайчу","lat":-33.00937,"lon":-58.51722,"country":"AR","timezone":"America/Argentina/Cordoba","population":78676,"capital":"false","continent":"America"}
68;Гойя;{"name":"Гойя","lat":-29.14395,"lon":-59.2651,"country":"AR","timezone":"America/Argentina/Cordoba","population":70245,"capital":"false","continent":"America"}
69;Формоза,Формоса;{"name":"Формоза","lat":-26.17753,"lon":-58.17814,"country":"AR","timezone":"America/Argentina/Cordoba","population":221383,"capital":"false","continent":"America"}
70;Корриентес;{"name":"Корриентес","lat":-27.4806,"lon":-58.8341,"country":"AR","timezone":"America/Argentina/Cordoba","population":339067,"capital":"false","continent":"America"}
71;Конкордия;{"name":"Конкордия","lat":-31.39296,"lon":-58.02089,"country":"AR","timezone":"America/Argentina/Cordoba","population":145210,"capital":"false","continent":"America"}
72;Консепсьон-дель-Уругвай,КонсепсьондельУругвай,Консепсьон дель Уругвай;{"name":"Консепсьон-дель-Уругвай","lat":-32.48249,"lon":-58.23722,"country":"AR","timezone":"America/Argentina/Cordoba","population":67895,"capital":"true","continent":"America"}
73;Колехьялес;{"name":"Колехьялес","lat":-34.57365,"lon":-58.44924,"country":"AR","timezone":"America/Argentina/Buenos_Aires","population":57000 ,"capital":"false" ,"continent":"America"}
74;Кампана;{"name":"Кампана","lat":-34.16874,"lon":-58.95914,"country":"AR","timezone":"America/Argentina/Buenos_Aires","population":81612,"capital":"false","continent":"America"}
75;Буэнос-Айрес,БуэносАйрес,Буэнос Айрес;{"name":"Буэнос-Айрес","lat":-34.61315,"lon":-58.37723,"country":"AR","timezone":"America/Argentina/Buenos_Aires","population":13076300,"capital":"true","continent":"America"}
76;Барранкерас;{"name":"Барранкерас","lat":-27.48132,"lon":-58.93925,"country":"AR","timezone":"America/Argentina/Cordoba","population":50823 ,"capital":"false" ,"continent":"America"}
77;Азул;{"name":"Азул","lat":-36.77698,"lon":-59.85854,"country":"AR","timezone":"America/Argentina/Buenos_Aires","population":53941,"capital":"false","continent":"America"}
78;Йерба-Буэна;{"name":"Йерба-Буэна","lat":-26.81667,"lon":-65.31667,"country":"AR","timezone":"America/Argentina/Tucuman","population":50783 ,"capital":"false" ,"continent":"America"}
79;Вилья-Мария;{"name":"Вилья-Мария","lat":-32.40751,"lon":-63.24016,"country":"AR","timezone":"America/Argentina/Cordoba","population":92453 ,"capital":"false" ,"continent":"America"}
80;Карлос-Паз,Вилья-Карлос-Пас,КарлосПаз,ВильяКарлосПас,Карлос Паз,Вилья Карлос Пас;{"name":"Карлос-Паз","lat":-31.42414,"lon":-64.49778,"country":"AR","timezone":"America/Argentina/Cordoba","population":69451,"capital":"false","continent":"America"}
81;Неукен;{"name":"Неукен","lat":-38.95161,"lon":-68.0591,"country":"AR","timezone":"America/Argentina/Salta","population":242092,"capital":"false","continent":"America"}
82;Ушуая;{"name":"Ушуая","lat":-54.8,"lon":-68.3,"country":"AR","timezone":"America/Argentina/Ushuaia","population":58028,"capital":"false","continent":"America"}
83;Трелью;{"name":"Трелью","lat":-43.24895,"lon":-65.30505,"country":"AR","timezone":"America/Argentina/Catamarca","population":93442 ,"capital":"false" ,"continent":"America"}
84;Тартагал;{"name":"Тартагал","lat":-22.51637,"lon":-63.80131,"country":"AR","timezone":"America/Argentina/Salta","population":60819,"capital":"false","continent":"America"}
85;Сан-Томе;{"name":"Сан-Томе","lat":-31.66274,"lon":-60.7653,"country":"AR","timezone":"America/Argentina/Cordoba","population":59072 ,"capital":"false" ,"continent":"America"}
86;Сантьяго-дель-Эстеро,СантьягодельЭстеро,Сантьяго дель Эстеро;{"name":"Сантьяго-дель-Эстеро","lat":-27.79511,"lon":-64.26149,"country":"AR","timezone":"America/Argentina/Cordoba","population":354692,"capital":"false","continent":"America"}
87;Санта-Роса,СантаРоса,Санта Роса;{"name":"Санта-Роса","lat":14.31222,"lon":121.11139,"country":"PH","timezone":"Asia/Manila","population":216650,"capital":"false","continent":"Asia"}
88;Санта-Фе,СантаФе,Санта Фе;{"name":"Санта-Фе","lat":-31.63333,"lon":-60.7,"country":"AR","timezone":"America/Argentina/Cordoba","population":489505,"capital":"false","continent":"America"}
89;Сан Сальвадор де Жужуй,Хухуй,Сан Сальвадор де Хухуй,Сан-Сальвадор-де-Жужуй,Хухуй,СанСальвадордеЖужуй;{"name":"Сан Сальвадор де Жужуй","lat":-24.19457,"lon":-65.29712,"country":"AR","timezone":"America/Argentina/Jujuy","population":305891,"capital":"false","continent":"America"}
90;Сан-Рамон-де-ла-Нуэва-Оран,СанРамонделаНуэваОран,Сан Рамон де ла Нуэва Оран;{"name":"Сан-Рамон-де-ла-Нуэва-Оран","lat":-23.13705,"lon":-64.32426,"country":"AR","timezone":"America/Argentina/Salta","population":74059,"capital":"false","continent":"America"}
91;Сан-Рафаэль,СанРафаэль,Сан Рафаэль;{"name":"Сан-Рафаэль","lat":-34.61772,"lon":-68.33007,"country":"AR","timezone":"America/Argentina/Mendoza","population":109163,"capital":"false","continent":"America"}
92;Сан-Педро;{"name":"Сан-Педро","lat":14.3595,"lon":121.0473,"country":"PH","timezone":"Asia/Manila","population":270216 ,"capital":"false" ,"continent":"Asia"}
93;Сан-Николас;{"name":"Сан-Николас","lat":-33.33578,"lon":-60.22523,"country":"AR","timezone":"America/Argentina/Buenos_Aires","population":127742 ,"capital":"false" ,"continent":"America"}
